restaurant_name,borough,building_num,street,zip_code,phone_num
101BROOKLYN DISCO BAR,BROOKLYN,134,METROPOLITAN AVE,11249,(718)388-7000
1020 BAR,MANHATTAN,1020,AMSTERDAM AVENUE,10025,(212)531-3468
104-01 FOSTER AVENUE COFFEE SHOP(UPS),BROOKLYN,10401,FOSTER AVENUE,11236,(718)270-7879
107 WEST RESTAURANT,MANHATTAN,2787,BROADWAY,10025,(212)864-1555
108 DOUBLE CHINESE RESTAURANT,QUEENS,5316,108TH ST,11368,(718)760-1021
108 FOOD DRIED HOT POT,MANHATTAN,2794,BROADWAY,10025,(917)675-6878
1080 BREW,QUEENS,1080,WYCKOFF AVE,11385,(347)484-9220
10BELOW ICE CREAM,QUEENS,13620,38TH AVE,11354,(347)879-5161
10TH AVENUE COOKSHOP,MANHATTAN,156,10 AVENUE,10011,(212)924-4440
10TH AVENUE PIZZA & CAFE,MANHATTAN,256,10TH AVE BET 24 & 25 ST ),10001,(212)366-9222
10TH FLOOR LOUNGE,BROOKLYN,60,FURMAN ST,11201,(347)696-2500
11 HANOVER GREEK,MANHATTAN,11,HANOVER SQ,10005,(212)785-4000
11 HOWARD KITCHEN,MANHATTAN,138,LAFAYETTE ST,10013,(646)937-1256
11 STREET CAFE,MANHATTAN,327,WEST   11 STREET,10014,(646)692-4455
110 KENNEDY FRIED CHICKEN,STATEN ISLAND,110,VICTORY BLVD,10301,(347)400-7607
118 KITCHEN,MANHATTAN,1,E 118TH ST,10035,(212)722-6888
11TH ST BAR,MANHATTAN,510,E 11TH ST,10009,(212)982-3929
12 CHAIRS,MANHATTAN,56,MACDOUGAL STREET,10012,(212)254-8640
12 CHAIRS CAFE,BROOKLYN,342,WYTHE AVE,11249,(347)227-7077
12 CORAZONES RESTAURANT & BAR,QUEENS,8622,ROOSEVELT AVENUE,11372,(718)205-5575
12 CORNERS COFFEE,MANHATTAN,121,MOTT ST,10013,(212)625-8888
120 BAY CAFE,STATEN ISLAND,120,BAY STREET,10301,(718)273-7770
123 Burger Shot Beer,MANHATTAN,712,W 125TH ST,10027,(646)850-0193
123 NIKKO,MANHATTAN,1280,AMSTERDAM AVENUE,10027,(212)531-1288
124 CAFE,MANHATTAN,53,E 124TH ST,10035,(646)589-5292
129 GOURMET DELI & GROCERY,MANHATTAN,129,E 45TH ST,10017,(212)697-4797
12TH ST. ALE HOUSE,MANHATTAN,192,2ND AVE,10003,(212)253-2323
13106 GRAND EVERGREEN CHINESE RESTAURANT,QUEENS,13106,ROCKAWAY BLVD,11420,(718)659-3948
14 OLD FULTON STREET,BROOKLYN,14,OLD FULTON ST,11201,(347)889-5392
141 EL KUCHO MEXICAN RESTAURANT,BROOKLYN,141,WILSON AVE,11237,(917)966-5124
146 NO. 1 YUMMY TACO,QUEENS,14615,ROCKAWAY BLVD,11436,(718)848-1288
15 EAST RESTAURANT,MANHATTAN,15,EAST   15 STREET,10003,(212)647-9915
15 FLAVORS,BRONX,1763,CROSBY AVE,10461,(718)676-1092
15 STORIES,MANHATTAN,444,PARK AVE S,10016,(212)804-8880
16 HANDLES,BROOKLYN,139,North 7th Street,11249,(212)260-4416
16 HANDLES,MANHATTAN,1000S,8TH AVE,10019,(212)664-9608
16 HANDLES,MANHATTAN,1161,1ST AVE,10065,(646)707-3424
16 HANDLES,MANHATTAN,153,2 AVENUE,10003,(212)260-4414
16 HANDLES,MANHATTAN,1569,2 AVENUE,10028,(646)863-2522
16 HANDLES,MANHATTAN,178,8 AVENUE,10011,(212)627-2808
16 HANDLES,MANHATTAN,2600,BROADWAY,10025,(646)422-7022
16 HANDLES,MANHATTAN,325,AMSTERDAM AVENUE,10023,(646)861-1281
16 HANDLES,MANHATTAN,400,AUDUBON AVE,10033,(917)472-7874
16 HANDLES,MANHATTAN,428,3RD AVE,10016,(212)213-1755
161 HOT POT RICE,QUEENS,13335,ROOSEVELT AVE,11354,(646)262-0928
168 HI TEA,QUEENS,16711,UNION TURNPIKE,11366,(718)380-1369
169 BAR,MANHATTAN,169,EAST BROADWAY,10002,(917)577-2077
16TH AVENUE GLATT,BROOKLYN,4619,16 AVENUE,11204,(718)871-5254
173 WEBSTER CAFE,BRONX,1692,WEBSTER AVE,10457,(718)618-0832
18 BAKERY,BROOKLYN,6820,18 AVENUE,11204,(718)259-5399
18 EAST GUNHILL PIZZA,BRONX,18,E GUN HILL RD,10467,(718)405-7088
18 HIPOT,BROOKLYN,8204,18TH AVE,11214,(917)933-4888
18 RESTAURANT,MANHATTAN,240,EAST   81 STREET,10028,(212)517-2400
18 STARS KITCHEN,BROOKLYN,8515,18TH AVE,11214,(718)256-0218
18 VIETNAM NOODLE,BROOKLYN,7116,18TH AVE,11204,(347)374-6633
1803,MANHATTAN,78,READE ST,10007,(212)267-3000
1847 INTERNATIONAL,STATEN ISLAND,639,BAY ST,10304,(718)524-4810
1893 SPORTS BAR,BRONX,1,EAST  161 STREET,10451,(917)284-3260
19 CAFE,BROOKLYN,84,MANHATTAN AVE,11206,(718)387-8777
191 KNICKERBOCKER AVENUE,BROOKLYN,191,KNICKERBOCKER AVE,11237,(929)305-3625
192 RESTAURANT & BAR,QUEENS,19202,NORTHERN BLVD,11358,(718)225-4200
1976,QUEENS,20103,LINDEN BLVD,11412,(646)594-9646
1982 Coffee Roasters,BROOKLYN,5403,13TH AVE,11219,(917)620-0907
1ST AVE GOURMET,MANHATTAN,1274,1ST AVE,10065,(212)472-8480
1ST MAMA RESTAURANT,BRONX,8,W TREMONT AVE,10453,(718)209-3208
2 BRO'S PIZZA,MANHATTAN,601,6TH AVE,10011,(212)239-1117
2 BROS PIZZA,BRONX,207,E FORDHAM RD,10458,(917)859-3324
2 BROS PIZZA,BROOKLYN,395,FLATBUSH AVENUE EXTENSION,11201,(718)797-0336
2 BROS PIZZA,MANHATTAN,113,E 125TH ST,10035,(212)239-1117
2 BROS PIZZA,MANHATTAN,31,W 46TH ST,10036,(917)374-9161
2 BROS PIZZA,MANHATTAN,32,ST MARKS PLACE,10003,(212)777-0600
2 BROS PIZZA,MANHATTAN,557,8TH AVE,10018,(917)587-8888
2 BROS PIZZA,MANHATTAN,755,6TH AVE,10010,(212)239-1117
2 BROS PIZZA/ CORVO COFFEE,MANHATTAN,542,9 AVENUE,10018,(212)695-2642
2 GOOD DELI GRILL,BRONX,1103A,CASTLE HILL AVE,10472,(718)281-9009
2 IN 1 RESTAURANT,BROOKLYN,2108,FLATBUSH AVENUE,11234,(718)338-0688
2 IN 1 RESTAURANT NY,BROOKLYN,2108,FLATBUSH AVE,11234,(718)338-0688
2 PALMITAS MEXICAN DELI,QUEENS,10915,JAMAICA AVENUE,11418,(718)849-1108
200 FIFTH AVENUE RESTAURANT & SPORTS BAR,BROOKLYN,200,5 AVENUE,11217,(718)638-2925
200 GRAM NOODLES,QUEENS,3626,UNION ST,11354,(347)732-4419
207 BAKERY & COFFEE SHOP,MANHATTAN,588,W 207TH ST,10034,(347)600-1126
21 BAR,MANHATTAN,4318,BROADWAY,10033,(917)975-2690
21 BERRY DELI,MANHATTAN,922,BROADWAY,10010,(212)353-8540
21 CLUB,MANHATTAN,21,WEST   52 STREET,10019,(212)582-7200
21 GREENPOINT,BROOKLYN,21,GREENPOINT AVE,11222,(718)383-8833
21 HOME'S KITCHEN,MANHATTAN,22,EAST   21 STREET,10010,(212)475-5049
212 HISAE'S,MANHATTAN,212,EAST 9 STREET,10003,(212)614-3226
212 STEAKHOUSE,MANHATTAN,316,E 53RD ST,10022,(212)858-0646
2123 FRESH TORTILLAS,BRONX,2123,WILLIAMSBRIDGE RD,10461,(718)319-1208
21ST LIC DELI & GROCERY,QUEENS,4344,21ST ST,11101,(516)667-3606
22 STR CONCESSION STAND,BROOKLYN,3052-3078,W 21ST ST,11224,(917)304-9069
22 THAI CUISINE,MANHATTAN,59,NASSAU ST,10038,(212)732-9250
224TH CORNER RESTAURANT & BAKERY,BRONX,707,e 224 st,10466,(718)652-2878
229 LINDEN RESTAURANT,QUEENS,22902,LINDEN BLVD,11411,(718)276-4619
230 FIFTH,MANHATTAN,230,FIFTH AVENUE,10001,(212)725-4300
234 CHINA CITY,BROOKLYN,234,KINGS HIGHWAY,11223,(718)714-4272
2419 CHINA STAR RESTAURANT,BROOKLYN,2419,FOSTER AVE,11210,(718)282-6688
241ST CAFE RESTAURANT,BRONX,4703,WHITE PLAINS RD,10470,(718)324-4924
242 CAFE BAKERY,MANHATTAN,242,CANAL STREET,10013,(212)343-2505
2522 MOMBAR,QUEENS,2522,STEINWAY ST,11103,(718)726-2356
25TH DELI,QUEENS,4819,25 AVENUE,11103,(718)274-5040
27 MORTON,MANHATTAN,27,MORTON ST,10014,(212)929-4339
27 SPORTS BAR & CAFE,BRONX,2,WEST MOUNT EDEN AVENUE,10452,(718)731-3585
272 UPTOWN PIZZA,MANHATTAN,272,W 135TH ST,10030,(212)283-7021
28 MING'S CAFFE,MANHATTAN,28,CANAL ST,10002,(212)978-1888
290 WILD BAR,STATEN ISLAND,290,WILD AVE,10314,(718)698-8811
29B,MANHATTAN,29,AVENUE B,10009,(646)634-1770
2A,MANHATTAN,25,AVENUE A,10009,(212)505-2466
2ND AVE DELI,MANHATTAN,162,EAST 33 STREET,10016,(212)689-9000
2ND AVENUE DELI,MANHATTAN,1442,1 AVENUE,10021,(212)737-1700
3 ALARM DELI,QUEENS,4515,28TH AVE,11103,(718)721-4155
3 BROS 99 CENT PIZZA,QUEENS,2503,30TH AVE,11102,(718)777-7133
3 BROS 99 CENT PIZZA,QUEENS,2589,STEINWAY ST,11103,(929)278-9914
3 BROS 99C PIZZA,BRONX,5,W FORDHAM RD,10468,(646)338-1014
3 COFFEE,QUEENS,3027,STEINWAY ST,11103,(347)265-8602
3 D'S DELIGHT RESTAURANT & BAKERY,BROOKLYN,771,WASHINGTON AVE,11238,(347)954-8596
3 D'S LEGACY SALAD & GRILL,BRONX,445,MORRIS PARK AVENUE,10460,(347)657-0910
3 DELI & GRILL,MANHATTAN,133,EAST   55 STREET,10022,(212)486-3272
3 GREEKS GRILL,QUEENS,3561,VERNON BLVD,11106,(718)729-8900
3 GUYS,MANHATTAN,1381,MADISON AVENUE,10029,(212)348-3800
3 GUYS GYRO,BROOKLYN,129,GRAHAM AVE,11206,(929)337-6111
3 GUYS SUSHI,STATEN ISLAND,530,FOREST AVE,10310,(718)447-0088
3 IN 1 FS&H JAMAICAN RESTAURANT,QUEENS,14412,243RD ST,11422,(347)632-0767
3 IN 1 KITCHEN,BROOKLYN,4902,FORT HAMILTON PKWY,11219,(718)437-7744
3 MEALS WEST INDIAN RESTAURANT,BROOKLYN,1643,SAINT JOHNS PL,11233,(347)240-6066
3 ROOTS,BROOKLYN,159,FRANKLIN STREET,11222,(718)389-2468
3 SHEETS SALOON,MANHATTAN,134,WEST    3 STREET,10012,(212)777-1733
3 SISTERS' & SHANTA'S RESTAURANT & BAKERY,QUEENS,10704,LIBERTY AVENUE,11417,(718)845-3570
3 STAR JUICE CENTER,BROOKLYN,482,UTICA AVENUE,11203,(718)493-0099
3 WAY RESTAURANT,BRONX,384,EAST  188 STREET,10458,(718)295-9595
3-J RESTAURANT AND PIZZA,BRONX,554A,PROSPECT AVE,10455,(347)346-1381
301 CHINESE RESTAURANT,QUEENS,8603,ROCKAWAY BEACH BLVD,11693,(718)318-7800
302 BAR,BROOKLYN,302,IRVING AVENUE,11237,(347)299-5061
303 GOLDEN STAR KITCHEN,BROOKLYN,303,SCHENECTADY AVE,11213,(718)363-8886
310 BOWERY BAR,MANHATTAN,310,BOWERY,10012,(212)477-1166
321 ICE CREAM SHOP,BROOKLYN,288,GRAND ST,11211,(917)667-3280
32nd Deli,MANHATTAN,44,E 32ND ST,10016,(718)730-5025
33,BROOKLYN,33,LAFAYETTE AVE,11217,(917)987-4073
33 GOURMET,MANHATTAN,157,WEST   33 STREET,10001,(212)904-1351
333 LOUNGE,BROOKLYN,333,FLATBUSH AVE,11217,(917)609-8864
34th BAGELS AND MORE,MANHATTAN,365,W 34TH ST,10001,(646)238-4868
375 THRICE COOKED FRIES,MANHATTAN,124,LUDLOW ST,10002,(646)682-7578
38 DELI,BROOKLYN,968,58 STREET,11219,(718)790-3143
388 CAFE & DELI,MANHATTAN,1-3,ELDRIDGE STREET,10002,(212)219-1318
39 FANTASTIC BAR,BROOKLYN,3914,8TH AVE,11232,(929)367-6668
39 KINGS,QUEENS,3907,PRINCE ST,11354,(718)939-3330
39 TACO HOUSE,BROOKLYN,3922,9TH AVE,11232,(718)851-0880
39 TACO HOUSE,BROOKLYN,3922,9TH AVE,11232,(718)851-0880
3D'S DELIGHT BAKERY & RESTAURANT,BROOKLYN,1377,E NEW YORK AVE,11212,(718)975-1121
3RD FLOOR COFFEE BAR,MANHATTAN,200,WEST ST,10282,(646)446-5150
3rd & 7,BROOKLYN,3622,QUENTIN RD,11234,(718)336-6300
4 Amores (Entrance is on Whitney Ave),QUEENS,9310,ROOSEVELT AVE,11373,(718)205-7918
4 CHARLES RIB PRIME RIB,MANHATTAN,4,CHARLES ST,10014,(312)718-3209
4 HEALTHY MINDS,QUEENS,22619,MERRICK BLVD,11413,(646)709-5684
4 SQUARED FLAVORS,QUEENS,4512,GREENPOINT AVE,11104,(929)434-2823
40/40 CLUB,MANHATTAN,6,WEST   25 STREET,10010,(212)832-4040
401 LUCKY STAR RESTAURANT,BROOKLYN,401,MOTHER GASTON BLVD,11212,(718)485-2633
414 HOTEL,MANHATTAN,414,W 46TH ST,10036,(212)399-0006
420 NO.1 CHINESE FOOD,BROOKLYN,420,DITMAS AVE,11218,(718)414-0917
42ND STREET PIZZA DINER,MANHATTAN,647,WEST   42 STREET,10036,(212)594-4312
44 & X HELL'S KITCHEN,MANHATTAN,622,10 AVENUE,10036,(212)977-1170
456 NEW SHANGHAI RESTAURANT,MANHATTAN,69,MOTT ST,10013,(917)256-9153
4618 BAKERY,BROOKLYN,4618,8 AVENUE,11220,(718)438-4820
482 JOY GARDEN,BROOKLYN,482,RIVERDALE AVE,11207,(718)385-3388
4O KNOTS,BROOKLYN,200,COLUMBIA STREET,11231,(917)770-1984
4TH DOWN,BROOKLYN,750,GRAND ST,11211,(917)744-6522
4TH FLOOR CAFE,MANHATTAN,221,EAST 71ST STREET,10021,(212)517-0586
5 Avenida Tacos California,BROOKLYN,4616,5TH AVE,11220,(718)439-1661
5 BORO BURGER,MANHATTAN,80,WEST   36 STREET,10018,(212)564-2211
5 BURRO CAFE,QUEENS,7205,AUSTIN STREET,11375,(718)544-2984
"5 BURRO PIZZA, WOK TO WALK, BLACK BURGER, & SAKURA OF JAPAN",MANHATTAN,570,8 AVENUE,10018,(212)398-4646
5 DE MAYO,QUEENS,10809,53 AVENUE,11368,(718)271-5290
5 DE MAYO RESTAURANT,QUEENS,10809,53RD AVE,11368,(718)271-5290
5 ESTRELLA BAKERY,MANHATTAN,3861,BROADWAY,10032,(212)795-5000
5 NAPKIN,MANHATTAN,1325,2ND AVE,10021,(212)249-0777
5 NAPKIN BURGER,MANHATTAN,150,EAST   14 STREET,10003,(212)228-5500
5 NAPKIN BURGER,MANHATTAN,2315,BROADWAY,10024,(212)333-4488
5 STAR BANQUET,QUEENS,1305,43RD AVE,11101,(718)784-8484
5 STAR CHEESE STEAK AND PIZZA,MANHATTAN,2039,1ST AVE,10029,(212)987-1540
5 STAR VILLAGE CAFE,BROOKLYN,1968,CONEY ISLAND AVENUE,11223,(718)975-3373
51ST BAKERY AND CAFE,QUEENS,5-33,51ST AVE,11101,(718)707-0554
520 Desserts,QUEENS,3636,PRINCE ST,11354,(520)788-2887
525 LEX Restaurant/M Club Lounge/illy CafÃ©,MANHATTAN,525,LEXINGTON AVE,10017,(212)755-4000
52ND SUSHI,QUEENS,5221,ROOSEVELT AVE,11377,(718)507-9204
535 MADISON CAFE,MANHATTAN,535,MADISON AVENUE,10022,(212)308-4177
54 BELOW,MANHATTAN,254,WEST   54 STREET,10019,(646)476-3551
55 BAR,MANHATTAN,55,CHRISTOPHER STREET,10014,(212)929-9883
55 THOMAS CAFE,MANHATTAN,55,THOMAS STREET,10013,(212)886-7347
561 DELI AND GROCERY,MANHATTAN,561,2ND AVE,10016,(212)684-1561
56TH & PARK F&B MANAGEMENT LLC,MANHATTAN,432,PARK AVE,10022,(212)223-5412
57'S ALL AMERICAN GRILL,QUEENS,3345,FRANCIS LEWIS BOULEVARD,11358,(718)353-3057
575 PUB ON SECOND,MANHATTAN,93,2ND AVE,10003,(917)770-3962
591 CHICKEN CUTLET,QUEENS,13655,ROOSEVELT AVE,11354,(347)667-9426
59E59 BAR,MANHATTAN,59,EAST   59 STREET,10022,(212)753-5959
5BAR KARAOKE,MANHATTAN,38,WEST   32 STREET,10001,(212)594-6644
5C CAFE & CULTURAL CENTER,MANHATTAN,68,AVENUE C,10009,(212)477-5993
5IVE SPICE,BROOKLYN,52,5TH AVE,11217,(718)857-3483
5TH & MAD,MANHATTAN,7,EAST 36 STREET,10016,(212)725-2353
5TH AVENUE ASIAN TASTE RESTAURANT,BROOKLYN,718,5TH AVE,11215,(718)788-5878
6 AVENUE CAFE,BROOKLYN,610,50TH ST,11220,(718)925-5268
61 LOCAL,BROOKLYN,61,BERGEN STREET,11201,(347)763-6624
619 BAR & RESTAURANT EL SALVADORENO,BRONX,395,E 151ST ST,10455,(646)637-8179
620 ON CATON,BROOKLYN,620,CATON AVENUE,11218,(718)436-3502
624 KAM HAI CHINESE FOOD,BROOKLYN,624,CATON AVE,11218,(718)715-9889
6321 YUAN BAO,BROOKLYN,6321,8 AVENUE,11220,(718)836-1663
652 LIN'S GARDEN,QUEENS,652,SENECA AVE,11385,(718)366-2388
66 WINE BAR,BROOKLYN,66,WASHINGTON AVE,11205,(718)243-2221
66S FUSION,BROOKLYN,130,FLUSHING AVE,11205,(718)222-0050
"66S FUSION, INC.",BROOKLYN,8,VANDERBILT AVE,11205,(917)912-7032
67 CIAO,STATEN ISLAND,2945,VETERANS RD W,10309,(718)966-0300
67 ORANGE STREET,MANHATTAN,2082,FREDERICK DOUGLAS BOULEVARD,10026,(212)662-2030
678 DELI,QUEENS,8820,VAN WYCK EXPY,11418,(718)880-1496
68 JAY STREET BAR,BROOKLYN,68,JAY STREET,11201,(718)260-8207
68 MEI MEI BAKERY,BROOKLYN,7814,NEW UTRECHT AVENUE,11214,(718)331-8089
69 BAR LOUNGE,QUEENS,3821,69 STREET,11377,(347)543-7183
69 PIZZERIA,QUEENS,4917,69TH ST,11377,(718)898-8899
6915 BEST BAKERY,BROOKLYN,6915,18TH AVE,11204,(347)374-6995
696 GOURMET DELI,MANHATTAN,696,3 AVENUE,10017,(212)490-7115
69th Coffee Shop,QUEENS,5001,69TH ST,11377,(347)642-8226
6B,MANHATTAN,60,E 42ND ST,10165,(212)922-2110
7 DAYS RESTAURANT,STATEN ISLAND,364,BAY ST,10301,(718)727-9888
7 GRAMS CAFFE,MANHATTAN,275,7TH AVE,10001,(212)727-1777
7 GRAMS CAFFE,MANHATTAN,76,MADISON AVE,10016,(212)727-1777
7 STARS RESTAURANT,QUEENS,13209,14 AVENUE,11356,(718)747-6898
7 TERIYAKI SUSHI,QUEENS,12404,JAMAICA AVE,11418,(917)293-6100
718 BISTRO,BROOKLYN,360,NEPTUNE AVE,11235,(718)975-1999
718 HOOKAH LOUNGE,QUEENS,7213,AUSTIN ST,11375,(718)520-7213
718 LIVE,BROOKLYN,1114,FULTON ST,11238,(718)783-5483
718 LOUNGE & TAPAS,BRONX,400,E 180TH ST,10457,(347)820-6105
72 CIBAO RESTAURANT,MANHATTAN,72,CLINTON ST,10002,(212)388-9824
750 MYRTLE DINER,BROOKLYN,750,MYRTLE AVE,11205,(718)758-5298
765 FOOD MARKET,MANHATTAN,765,2 AVENUE,10017,(212)697-6080
77 BURGER,MANHATTAN,77,PEARL ST,10004,(212)825-0354
773 LOUNGE,BROOKLYN,773,CONEY ISLAND AVENUE,11218,(917)332-8721
787 COFFEE,MANHATTAN,131,E 7TH ST,10009,(646)649-2774
789 COCINA LATINA RESTAURANT INC.,BRONX,789,ALLERTON AVE,10467,(718)654-2067
7B BAR,MANHATTAN,108,AVENUE B,10009,(212)677-6742
7TH AVENUE DONUT SHOP,BROOKLYN,324,7 AVENUE,11215,(718)768-3410
8 DRAGON & PHOENIX CHINESE RESTAURANT,QUEENS,2217,31ST ST,11105,(718)545-2228
8 PAET RIO,QUEENS,8110,BROADWAY,11373,(917)832-6672
80'S TEA,BROOKLYN,6815,BAY PKWY,11204,(917)640-8882
800Â° Woodfired Kitchen,MANHATTAN,1,E 33RD ST,10016,(917)304-2353
809 GRILL & BAR RESTAURANT,MANHATTAN,112,DYCKMAN STREET,10040,(212)304-3800
8090Tai Wanese #24,QUEENS,13335,ROOSEVELT AVE,11354,(646)683-1763
810 DELI & CAFE,MANHATTAN,810,7 AVENUE,10019,(212)541-4136
818 FAST FOOD,BROOKLYN,818,NOSTRAND AVE,11216,(347)435-3450
83 1/2,MANHATTAN,345,EAST   83 STREET,10028,(212)737-8312
86 BEST BAKERY,BROOKLYN,1957,86 STREET,11214,(718)996-1310
86 NOODLES,BROOKLYN,8608,4 AVENUE,11209,(718)833-5300
87,MANHATTAN,87,WALKER ST,10013,(917)607-9352
876 CROWN,QUEENS,10810,GUY R BREWER BLVD,11433,(917)293-2703
88 CAFE,QUEENS,82-79,BROADWAY,11373,(718)396-3888
88 CANTEEN,QUEENS,5846,MAIN ST,11355,(718)886-1555
88 CHINESE RESTAURANT,MANHATTAN,473,LENOX AVE,10037,(212)281-1288
88 LAN ZHOU HANDMADE NOODLE & DUMPLING,MANHATTAN,40,BOWERY,10013,(646)645-7288
88 PALACE RESTAURANT,MANHATTAN,88,EAST BROADWAY,10002,(212)941-8886
88 WEIJIA,QUEENS,3624,UNION ST,11354,(718)358-3935
88 YUMMY IN TUMMY,BROOKLYN,6301,8TH AVE,11220,(917)826-1686
888 KITCHEN,QUEENS,6092,FLUSHING AVENUE,11378,(718)894-8889
895 BAR,BROOKLYN,895,BROADWAY,11206,(917)966-4446
8TH STREET WINECELLAR,MANHATTAN,28,W 8TH STREET,10011,(212)260-9463
90 DEGREE COFFEE SHOP,BROOKLYN,5715,5TH AVE,11220,(347)283-3802
9024/CATERING BY MICHAEL SCHICK INC.,BROOKLYN,9024,FOSTER AVENUE,11236,(718)257-8837
92ND STREET CAFE @ MARRIOTT,MANHATTAN,410,E 92ND ST,10128,(917)492-3710
95 FUSION TEA ROOM & KITCHEN BAR,MANHATTAN,95,CHRYSTIE ST,10002,(347)558-7763
95 SOUTH,BROOKLYN,778,FRANKLIN AVENUE,11238,(347)750-6180
96 FAVOR TASTE RESTAURANT,QUEENS,13541,37TH AVE,11354,(718)460-9699
969 NYC COFFEE,QUEENS,3761,80TH ST,11372,(646)203-7304
98 Favor Taste,MANHATTAN,37,SAINT MARKS PL,10003,(212)256-0480
983 BUSHWICK LIVING ROOM,BROOKLYN,983,FLUSHING AVENUE,11206,(718)386-1133
98K KENNEDY,BROOKLYN,5424,7TH AVE,11220,(646)258-5170
99 CENT EXPRESS PIZZA,MANHATTAN,301,WEST   43 STREET,10036,(212)315-5257
99 CENT FRESH PIZZA,MANHATTAN,151,E 43RD ST,10017,(212)922-0257
99 CENT FRESH PIZZA,MANHATTAN,388,AVE OF THE AMERICAS,10011,(347)822-0402
99 CENT FRESH PIZZA,MANHATTAN,71,2ND AVE,10003,(212)967-3310
99 CENT TASTY & FRESH PIZZA,MANHATTAN,383,CANAL ST,10013,(212)966-1110
99 CENTS BEST & FRESH PIZZA,MANHATTAN,166,WEST 27 STREET,10001,(212)488-2388
99 CENTS FAMOUS PIZZA,MANHATTAN,1,E 28TH ST,10016,(646)407-5650
99 CENTS FRESH & HOT PIZZA,MANHATTAN,1723,BROADWAY,10019,(646)369-3803
99 CENTS FRESH HOT PIZZA,BROOKLYN,51D,WILLOUGHBY STREET,11201,(718)797-3841
99 CENTS FRESH PIZZA & DELI,MANHATTAN,876,6TH AVE,10001,(929)522-0640
99 CENTS FRESH SLICE PIZZA,MANHATTAN,105,STANTON ST,10002,(212)335-0803
99 CENTS HOT PIZZA,BRONX,526A,WILLIS AVE,10455,(347)963-4238
99 CENTS MEGA PIZZA,MANHATTAN,1875,LEXINGTON AVE,10035,(212)690-369_
99 CENTS PIZZA & FRIES,MANHATTAN,2060,LEXINGTON AVE,10035,(212)722-0708
99 CENTS SUPREME PIZZA,BROOKLYN,44,WILLOUGHBY ST,11201,(347)463-9595
