,restaurant_name,borough,building_num,street,zip_code,phone_num,inspection_score,grade
241,591 Chicken Cutlet,Queens,13655,ROOSEVELT AVE,11354,(347)667-9426,29.90909090909091,C
242,59E59 Bar,Manhattan,59,EAST   59 STREET,10022,(212)753-5959,8.714285714285714,A
243,5Bar Karaoke,Manhattan,38,WEST   32 STREET,10001,(212)594-6644,27.76923076923077,C
244,5C Cafe & Cultural Center,Manhattan,68,AVENUE C,10009,(212)477-5993,15.857142857142858,B
245,5Ive Spice,Brooklyn,52,5TH AVE,11217,(718)857-3483,12.076923076923077,A
246,5Th & Mad,Manhattan,7,EAST 36 STREET,10016,(212)725-2353,15.862068965517242,B
247,5Th Avenue Asian Taste Restaurant,Brooklyn,718,5TH AVE,11215,(718)788-5878,17.375,B
248,6 Avenue Cafe,Brooklyn,610,50TH ST,11220,(718)925-5268,24.11111111111111,B
250,61 Local,Brooklyn,61,BERGEN STREET,11201,(347)763-6624,25.21875,B
251,619 Bar & Restaurant El Salvadoreno,Bronx,395,E 151ST ST,10455,(646)637-8179,15.866666666666667,B
252,620 On Caton,Brooklyn,620,CATON AVENUE,11218,(718)436-3502,20.6,B
253,624 Kam Hai Chinese Food,Brooklyn,624,CATON AVE,11218,(718)715-9889,20.136363636363637,B
254,6321 Yuan Bao,Brooklyn,6321,8 AVENUE,11220,(718)836-1663,18.307692307692307,B
255,652 Lin'S Garden,Queens,652,SENECA AVE,11385,(718)366-2388,6.333333333333333,A
256,66 Wine Bar,Brooklyn,66,WASHINGTON AVE,11205,(718)243-2221,92.0,C
257,66S Fusion,Brooklyn,130,FLUSHING AVE,11205,(718)222-0050,20.0,B
258,"66S Fusion, Inc.",Brooklyn,8,VANDERBILT AVE,11205,(917)912-7032,23.88888888888889,B
259,67 Ciao,Staten Island,2945,VETERANS RD W,10309,(718)966-0300,15.4,B
260,67 Orange Street,Manhattan,2082,FREDERICK DOUGLAS BOULEVARD,10026,(212)662-2030,14.4,B
261,678 Deli,Queens,8820,VAN WYCK EXPY,11418,(718)880-1496,19.818181818181817,B
262,68 Jay Street Bar,Brooklyn,68,JAY STREET,11201,(718)260-8207,27.0,B
263,68 Mei Mei Bakery,Brooklyn,7814,NEW UTRECHT AVENUE,11214,(718)331-8089,23.565217391304348,B
264,69 Bar Lounge,Queens,3821,69 STREET,11377,(347)543-7183,11.357142857142858,A
265,69 Pizzeria,Queens,4917,69TH ST,11377,(718)898-8899,24.176470588235293,B
266,6915 Best Bakery,Brooklyn,6915,18TH AVE,11204,(347)374-6995,57.0,C
267,696 Gourmet Deli,Manhattan,696,3 AVENUE,10017,(212)490-7115,24.5,B
268,69Th Coffee Shop,Queens,5001,69TH ST,11377,(347)642-8226,20.133333333333333,B
269,6B,Manhattan,60,E 42ND ST,10165,(212)922-2110,28.576923076923077,C
270,7 Days Restaurant,Staten Island,364,BAY ST,10301,(718)727-9888,16.272727272727273,B
271,7 Grams Caffe,Manhattan,275,7TH AVE,10001,(212)727-1777,10.625,A
272,7 Grams Caffe,Manhattan,76,MADISON AVE,10016,(212)727-1777,12.0,A
273,7 Stars Restaurant,Queens,13209,14 AVENUE,11356,(718)747-6898,10.235294117647058,A
274,7 Teriyaki Sushi,Queens,12404,JAMAICA AVE,11418,(917)293-6100,7.0,A
275,718 Bistro,Brooklyn,360,NEPTUNE AVE,11235,(718)975-1999,27.333333333333332,C
276,718 Hookah Lounge,Queens,7213,AUSTIN ST,11375,(718)520-7213,12.833333333333334,A
277,718 Live,Brooklyn,1114,FULTON ST,11238,(718)783-5483,22.0,B
278,718 Lounge & Tapas,Bronx,400,E 180TH ST,10457,(347)820-6105,14.5,B
279,72 Cibao Restaurant,Manhattan,72,CLINTON ST,10002,(212)388-9824,29.0,C
280,750 Myrtle Diner,Brooklyn,750,MYRTLE AVE,11205,(718)758-5298,11.666666666666666,A
281,765 Food Market,Manhattan,765,2 AVENUE,10017,(212)697-6080,23.822222222222223,B
282,77 Burger,Manhattan,77,PEARL ST,10004,(212)825-0354,27.857142857142858,C
283,773 Lounge,Brooklyn,773,CONEY ISLAND AVENUE,11218,(917)332-8721,16.454545454545453,B
285,787 Coffee,Manhattan,131,E 7TH ST,10009,(646)649-2774,12.0,A
286,789 Cocina Latina Restaurant Inc.,Bronx,789,ALLERTON AVE,10467,(718)654-2067,13.0,A
287,7B Bar,Manhattan,108,AVENUE B,10009,(212)677-6742,17.904761904761905,B
288,7Th Avenue Donut Shop,Brooklyn,324,7 AVENUE,11215,(718)768-3410,5.4,A
289,8 Dragon & Phoenix Chinese Restaurant,Queens,2217,31ST ST,11105,(718)545-2228,13.692307692307692,A
290,8 Paet Rio,Queens,8110,BROADWAY,11373,(917)832-6672,10.0,A
292,80'S Tea,Brooklyn,6815,BAY PKWY,11204,(917)640-8882,5.0,A
293,800Â° Woodfired Kitchen,Manhattan,1,E 33RD ST,10016,(917)304-2353,35.06666666666667,C
294,809 Grill & Bar Restaurant,Manhattan,112,DYCKMAN STREET,10040,(212)304-3800,15.304347826086957,B
295,8090Tai Wanese #24,Queens,13335,ROOSEVELT AVE,11354,(646)683-1763,18.73913043478261,B
296,810 Deli & Cafe,Manhattan,810,7 AVENUE,10019,(212)541-4136,12.2,A
