restaurant_name,average_review,food_review,service_review,ambience_review,value_review
The Wayfarer,4.5626,4.3,4.2,4.2,3.8
Casa Lever,4.71092,4.6,4.6,4.6,4.1
Victor's Café,,,,,
db Bistro moderne,4.4642800000000005,4.4,4.5,4.3,3.9
Claudette,4.6987,4.6,4.4,4.7,4.2
Jams - NYC,4.4471,4.2,4.2,4.3,3.8
Smith & Wollensky - New York,4.56405,4.5,4.4,4.2,3.9
FIG & OLIVE Meatpacking,4.65752,4.5,4.3,4.6,4.2
Oxbow Tavern,,,,,
Smoke Jazz and Supper Club,4.42155,3.9,4.2,4.5,4.0
Danji,4.7595,4.7,4.5,4.3,4.2
21 Club,4.73262,4.6,4.7,4.7,4.1
Molyvos,4.4410300000000005,4.4,4.3,4.2,3.9
Lexington Brass,4.51089,4.4,4.2,4.2,3.9
Il Mulino New York - Uptown,4.691,4.7,4.5,4.4,4.1
Ousia,4.5383,4.4,4.4,4.5,4.1
Dos Caminos - Times Square,4.3877,4.2,4.1,3.9,3.7
T-BAR Steak & Lounge (Upper East Side),4.6127,4.5,4.4,4.3,4.1
Sarabeth's Park Avenue South,4.51604,4.4,4.1,4.3,3.8
Masseria dei Vini,4.6119,4.6,4.6,4.4,4.1
Kellari Taverna,4.45209,4.4,4.2,4.3,4.0
Burke & Wills,4.6516,4.5,4.6,4.6,4.1
Marseille,4.45752,4.3,4.3,4.3,4.1
L'adresse,,,,,
Bocca di Bacco (Hell's Kitchen - 54th St.),4.61627,4.6,4.5,4.4,4.3
Kyma - Flatiron,,,,,
The Capital Grille - NY - Rockefeller Center,,,,,
Tommy Bahama - New York,4.61466,4.5,4.5,4.5,4.2
BLACKBARN Restaurant - NoMad,,,,,
La Sirene UWS,,,,,
GAONNURI,4.5183,4.4,4.3,4.6,4.0
Rosa Mexicano - Union Square,4.53966,4.4,4.4,4.4,4.1
Obao,4.317019999999999,4.3,4.2,4.2,4.2
Obao,4.317019999999999,4.3,4.2,4.2,4.2
Almond,4.62137,4.4,4.2,4.4,4.1
Ai Fiori,4.63794,4.6,4.6,4.6,4.1
Cafe d'Alsace,4.41664,4.4,4.2,4.2,4.1
Hunt & Fish Club NYC,4.61075,4.6,4.5,4.5,4.0
Rosa Mexicano - First Avenue,4.52015,4.4,4.3,4.2,4.1
Lattanzi,,,,,
Glass House Tavern,4.3364199999999995,4.3,4.4,4.1,4.0
The Whitby Bar and Restaurant,4.6162,4.4,4.4,4.8,4.1
La Goulue,,,,,
FIG & OLIVE Uptown,4.4214,4.2,4.2,4.1,3.9
Empellon Taqueria,4.614319999999999,4.5,4.5,4.4,4.0
MR CHOW - 57th,4.6171,4.6,4.6,4.4,4.0
Bocca Di Bacco (Theatre District - 45th St.),4.419569999999999,4.5,4.4,4.2,4.1
The Capital Grille - NY – Chrysler Center,4.73491,4.7,4.7,4.6,4.2
Bobo Restaurant,4.71108,4.5,4.5,4.6,4.3
Rotisserie Georgette,4.71011,4.6,4.6,4.5,4.2
Brasserie 8 1/2,4.53619,4.4,4.5,4.5,4.3
Casa Nonna - Midtown,4.5172099999999995,4.4,4.4,4.4,4.0
Benoit Restaurant and Wine Bar,4.5317,4.5,4.4,4.4,4.0
Ruth's Chris Steak House - New York City - Midtown,4.542330000000001,4.6,4.5,4.4,4.1
Sarabeth's Central Park South,4.4357,4.3,4.3,4.1,3.7
Gallaghers Steakhouse - Manhattan,4.6502,4.7,4.7,4.6,4.2
Nice Matin,4.4214,4.3,4.3,4.2,4.0
Sarabeth's East,4.369,4.2,4.2,4.1,3.8
The Ribbon - Midtown,,,,,
Storico,4.3124,4.2,4.2,4.2,3.9
Armani Ristorante 5th Avenue,4.71087,4.6,4.6,4.6,4.2
The Leopard at des Artistes,4.5132900000000005,4.4,4.5,4.6,4.0
STK - NYC - Meatpacking,4.41513,4.5,4.1,4.4,3.8
Felidia,4.74613,4.7,4.7,4.4,4.2
Manzo Ristorante - Eataly NYC Flatiron,4.5697,4.5,4.2,4.0,3.8
The Lambs Club,,,,,
Bar Italia,4.6454,4.5,4.5,4.4,4.0
Riverpark,4.631130000000001,4.5,4.5,4.7,4.1
Club A Steakhouse,4.83371,4.7,4.8,4.7,4.6
Michael's,4.71135,4.6,4.6,4.6,4.1
Felice 83,,,,,
STK Rooftop,,,,,
Sea Fire Grill,4.61734,4.6,4.6,4.4,4.1
Le Rivage,,,,,
LEGASEA,4.3261,4.3,4.2,4.1,3.7
Natsumi Restaurant,4.5162,4.5,4.3,4.1,4.1
Feroce,,,,,
DaDong NY,4.1342,4.0,4.1,4.3,3.4
Monkey Bar,4.697,4.3,4.4,4.6,3.9
Bluebird London NYC,,,,,
Sant Ambroeus - West Village,4.7505,4.7,4.5,4.6,4.3
Anassa Taverna,4.5864,4.4,4.2,4.2,4.0
Boucherie - Union Square,,,,,
Shun Lee West,4.2239,4.1,4.1,4.0,3.5
Chez Josephine,4.447019999999999,4.3,4.3,4.6,4.1
Match 65 Brasserie (formerly Paris Match),4.5638,4.4,4.5,4.4,4.0
Philippe Chow - Downtown,,,,,
Hudson Yards Grill,,,,,
Dos Caminos - Park,4.4163,4.3,4.0,4.2,4.0
Woodpecker by David Burke,,,,,
Casa Mono,,,,,
Bodega Negra,4.6661,4.5,4.3,4.5,4.1
Haru Sushi - Amsterdam Ave,4.563,4.3,4.2,4.0,3.9
Maiella - LIC,4.61001,4.6,4.4,4.7,4.2
Churrascaria Plataforma Brazilian Steakhouse,4.61918,4.6,4.6,4.4,4.2
Bobby Van's Grill - 50th Street,4.61744,4.4,4.6,4.3,4.0
MIFUNE New York,4.455,4.5,4.4,4.4,4.1
Brasserie Cognac East,,,,,
Il Cantinori,4.71431,4.7,4.6,4.7,4.3
Benjamin Steakhouse Prime,4.8356,4.7,4.8,4.6,4.3
Lincoln Square Steak,4.51976,4.4,4.5,4.4,4.2
Naples 45,,,,,
Ammos Estiatorio,4.63773,4.5,4.5,4.4,4.2
Trattoria Zero Otto Nove,4.6893,4.5,4.6,4.3,4.2
Ortzi by Jose Garces,4.525,4.5,4.5,4.2,4.0
Obica Mozzarella Bar  Pizza e Cucina,4.4546,4.3,4.2,4.2,4.0
Zengo - NYC,4.51909,4.4,4.2,4.4,4.2
Fine & Rare,,,,,
Bagatelle - NY,4.4429,4.3,4.2,4.3,3.9
Periyali,4.71781,4.6,4.5,4.5,4.2
David Burke Tavern,,,,,
Strip House Midtown,4.51586,4.5,4.4,4.4,3.8
Farmer & The Fish - Gramercy,4.3463,4.2,4.0,4.1,3.8
.Tarallucci e Vino Upper West Side,4.55,4.3,4.4,4.3,4.0
Bann Restaurant,4.61249,4.5,4.5,4.3,4.3
The Flatiron Room,,,,,
Maloney & Porcelli,4.422219999999999,4.4,4.3,4.3,3.9
Le Coq Rico,4.71035,4.7,4.6,4.5,4.0
Pera Mediterranean Brasserie,4.41657,4.4,4.2,4.1,3.8
Brasserie Ruhlmann,4.5136,4.4,4.2,4.4,3.8
Etcetera Etcetera,4.62714,4.6,4.6,4.4,4.2
Socarrat Paella Bar - Midtown East,4.5572,4.4,4.4,4.3,4.1
Socarrat Paella Bar - Chelsea,4.61151,4.5,4.5,4.3,4.1
Felice 64 Wine Bar,4.7114,4.6,4.6,4.6,4.4
Chazz Palminteri Italian Restaurant,4.5764,4.6,4.6,4.4,4.2
Todd English at The Plaza Food Hall,,,,,
Rock Center Cafe,4.43316,4.2,4.2,4.5,3.9
Rahi,,,,,
Cipriani - Dolci,4.4111199999999995,4.3,4.2,4.3,3.7
Perrine,4.5169,4.4,4.5,4.4,3.9
Aretsky's Patroon,4.7908,4.7,4.7,4.6,4.2
Neta,4.6569,4.6,4.4,4.1,3.9
Café Centro,4.52006,4.3,4.4,4.3,3.9
The Sea Grill,4.63392,4.6,4.6,4.6,4.1
Morton's The Steakhouse - Midtown Manhattan,4.63031,4.7,4.6,4.5,4.2
Davio's - Manhattan,,,,,
Hanjan,4.6259,4.5,4.3,4.3,3.9
Le Colonial NYC,4.4186,4.2,4.3,4.3,3.8
High Street on Hudson,4.5368,4.3,4.2,4.3,3.9
Society Cafe,4.4132,4.2,4.2,4.4,4.0
Bistro Pierre Lapin,,,,,
Bedford & Co.,4.5379,4.4,4.2,4.2,4.1
Ted's Montana Grill - NYC,4.3938,4.2,4.2,4.1,4.0
The House in Gramercy Park,4.51193,4.4,4.5,4.5,4.0
Inakaya,4.51087,4.4,4.2,4.2,3.8
American Cut Steakhouse Midtown,4.6389,4.6,4.5,4.4,3.9
Pampano New York,4.5187,4.4,4.3,4.3,4.0
Shun Lee Palace,4.31308,4.2,4.2,4.0,3.7
Feast,4.6554,4.6,4.7,4.6,4.3
Bocca,4.41561,4.4,4.4,4.1,4.0
Rossini's Restaurant,4.71132,4.6,4.7,4.5,4.3
Il Mulino Prime - Gramercy,,,,,
Irvington,4.5209,4.2,4.0,4.1,3.8
Nick & Stef’s Steakhouse - New York,4.41931,4.3,4.4,4.1,3.7
Barbetta Restaurant,4.23225,4.2,4.2,4.5,3.8
Clement,4.7506,4.6,4.7,4.7,4.1
Standard Grill,,,,,
Dos Caminos – Meatpacking,4.31291,4.2,3.8,4.1,3.8
Docks Oyster Bar and Seafood Grill,4.42045,4.3,4.2,4.3,3.9
The Cecil Steakhouse,4.21213,4.2,4.1,4.4,4.0
Empire Steak House- East,4.4307,4.4,4.7,4.6,4.0
Osteria 57,,,,,
Empire Steakhouse - 237 West 54 Street off of Broadway,4.4683,4.4,4.5,4.3,3.9
Tarallucci e Vino NoMad,4.3116,4.1,4.0,4.1,3.7
Trattoria Italienne,4.796,4.7,4.7,4.7,4.4
Suzuki,4.588,4.4,4.6,4.4,4.1
Sofrito NYC,3.9566,4.1,3.7,4.2,3.7
.Tarallucci e Vino Union Square,4.4582,4.4,4.2,4.2,4.0
Gaby Brasserie Française,4.3566,4.2,4.4,4.3,4.1
Bocca Di Bacco (Chelsea - 20th St.),4.2445,4.2,3.9,4.1,3.9
Merakia,,,,,
Giorgio's of Gramercy,4.72089,4.6,4.7,4.6,4.3
Delmonico's Kitchen,4.412030000000001,4.3,4.3,4.1,3.8
Bobby Van's Grill Times Square,4.31095,4.3,4.3,4.2,3.9
Tender Restaurant,4.3488,4.3,4.2,4.2,3.8
Jue Lan Club,4.0315,3.7,3.8,4.1,3.5
Altesi Ristorante,4.539,4.5,4.5,4.4,4.1
Leonelli Taberna,,,,,
Astor Court,4.5263,4.5,4.3,4.7,3.8
STATE Grill and Bar,4.3492,4.4,4.4,4.3,4.1
Haru Hell's Kitchen,4.482,4.3,4.3,4.2,4.0
The Shakespeare,4.6255,4.3,4.5,4.5,4.1
Kingside,4.1406,4.0,3.6,3.8,3.5
La Fonda Del Sol,4.41141,4.4,4.3,4.4,3.9
Amma,4.61336,4.7,4.5,4.1,4.3
Frankie & Johnnie's Steakhouse - Manhattan,4.41421,4.4,4.5,4.3,3.9
Ben and Jack's Steakhouse 44th Street,4.6714,4.6,4.7,4.4,4.2
Il Postino,4.6473,4.6,4.6,4.5,4.0
Bread & Tulips,4.5472,4.4,4.2,4.3,4.2
Vandal,4.61829,4.5,4.4,4.7,4.1
Bob's Steak & Chop House - New York,,,,,
Blenheim,4.3388,4.2,4.1,4.3,3.8
Montebello Ristorante Italiano,4.4612,4.3,4.6,4.1,3.9
1 Darbar,4.4516,4.4,4.2,3.9,4.2
Meet the Meat,4.8191,4.7,4.8,4.6,4.5
Cafe Clover,,,,,
Nobu Downtown | Restaurant,,,,,
2 Darbar Grill,4.5316,4.6,4.5,4.1,4.3
Junoon Main Dining Room,4.52027,4.5,4.4,4.5,3.8
Left Bank NYC,4.6615,4.4,4.4,4.3,4.1
Beauty & Essex- New York,4.65452,4.6,4.5,4.7,4.2
Mercer Kitchen,4.54598,4.3,4.1,4.4,3.9
The Dutch,4.62125,4.5,4.4,4.4,3.9
Lafayette,4.52128,4.4,4.3,4.5,3.9
Bar Primi,4.6794,4.6,4.3,4.5,4.1
Lupa,4.74526,4.6,4.5,4.4,4.3
Boucherie - West Village,4.4546,4.3,4.0,4.4,3.8
Lure New York,4.73269,4.7,4.4,4.5,4.1
Indochine,4.61428,4.6,4.3,4.5,4.1
Hearth,4.7227,4.7,4.5,4.6,4.2
The Loyal,,,,,
Sant Ambroeus SoHo,4.8257,4.7,4.5,4.6,4.3
Tamarind - Tribeca,4.7245800000000004,4.7,4.6,4.6,4.2
El Vez New York,4.6747,4.5,4.4,4.4,4.1
Pig and Khao,4.7979,4.7,4.5,4.3,4.4
Sarabeth's TriBeCa,4.41598,4.3,4.1,4.2,3.9
MAMO Restaurant,,,,,
Leuca,4.6491,4.6,4.3,4.6,4.1
Bâtard,4.6913,4.7,4.5,4.4,4.2
Il Mulino New York - Downtown,4.883,4.7,4.8,4.6,4.4
BAAR BAAR,4.5115,4.5,4.2,4.6,4.0
The Bombay Bread Bar,,,,,
Little Park,4.678,4.5,4.3,4.5,3.9
Narcissa Restaurant,4.6759,4.4,4.3,4.5,4.0
MR CHOW - TriBeca,4.5152,4.4,4.4,4.5,3.8
Essex,4.32167,4.2,4.2,4.0,4.1
Pera Soho,4.357,4.2,3.7,4.4,3.9
Tribeca Grill,4.44361,4.2,4.3,4.3,3.9
Delmonico's,4.73792,4.7,4.6,4.6,4.2
Dos Caminos - SoHo,4.2944,4.0,3.6,4.0,3.6
Gran Morsi,4.6266,4.5,4.4,4.5,4.1
Toloache Thompson St.,4.5381,4.4,4.0,4.1,3.9
Temple Court,4.6392,4.5,4.4,4.7,4.1
Temple Court,4.6392,4.5,4.4,4.7,4.1
Khe-Yo,4.763999999999999,4.6,4.4,4.5,4.1
The Osprey,,,,,
SAN CARLO  Osteria Piemonte,4.7314,4.6,4.6,4.5,4.3
Osteria della Pace - Eataly NYC Downtown,4.4294,4.3,4.3,4.4,3.9
Il Mulino New York - Tribeca,,,,,
La Loteria,4.6245,4.5,4.3,4.2,4.1
Porsena,4.6338,4.6,4.3,4.4,4.2
Il Mulino Prime - SoHo,,,,,
Fonda - East Village,4.5529,4.4,4.3,4.2,4.1
10 Corso Como - New York,,,,,
The Woo,,,,,
Socarrat Paella Bar - Nolita,4.5634,4.4,4.4,4.4,4.1
Antica Pesa,,,,,
American Cut Steakhouse,4.6791,4.6,4.6,4.5,4.0
The Palm Tribeca,4.6156,4.5,4.5,4.3,4.0
La Sirene,4.61442,4.6,4.5,4.4,4.4
CUT By Wolfgang Puck at FS Downtown New York,4.6364,4.5,4.5,4.3,3.8
The Capital Grille - NY- Wall Street,,,,,
Felice 15 Gold Street,4.6454,4.5,4.5,4.4,4.2
Rosa Mexicano - TriBeCa,4.2247,4.0,3.9,3.8,3.6
Barano,4.7234,4.7,4.6,4.6,4.3
Frankie and Johnnie's Steakhouse - 46th Street,4.355,4.3,4.4,4.2,3.9
The Wright,,,,,
Henry at Life Hotel,,,,,
Strip House Speakeasy,4.6222,4.7,4.6,4.6,4.1
The Morgan Dining Room,4.4351,4.2,4.4,4.5,4.0
The Library at the Public,4.2801,4.0,4.5,4.5,3.7
Cipriani - Wall Street,4.6537,4.5,4.5,4.5,4.0
Tarallucci e Vino East Village,,,,,
Thalassa,4.61224,4.6,4.6,4.7,4.4
Limani,,,,,
Schilling,4.4234,4.5,4.2,4.5,4.1
Altesi Downtown,4.5558,4.5,4.4,4.3,4.2
Harold's,,,,,
Benchmark Restaurant,4.5836,4.5,4.4,4.4,4.1
Bellini,,,,,
Bellini,,,,,
Bistrot Leo,4.316,4.2,4.1,4.3,3.8
MarkJoseph Steakhouse,4.7814,4.7,4.8,4.5,4.3
ATRIO Wine Bar & Restaurant,4.6215,4.6,4.8,4.7,4.1
Nonna Beppa,,,,,
The Tuck Room- New York,4.1160000000000005,4.0,4.0,4.4,3.7
Morton's The Steakhouse - World Trade Center,4.6541,4.7,4.7,4.6,4.5
Joseph's Restaurant,,,,,
2 West at The Wagner Hotel,,,,,
Greenhouse Cafe,4.686,4.5,4.6,4.4,4.6
"Lorenzo's Restaurant, Bar & Caberet - Hilton Garden Inn - SI",4.511,4.6,4.7,4.5,4.4
Soogil,,,,,
Senya,,,,,
Yellow Magnolia Café,4.391,4.4,4.1,4.3,3.9
Stella Trattoria & Bar,,,,,
