restaurant_name,street_address,google_map,phone
Bodega Negra,"355 West 16th street New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7420080%2C-74.003721,(212) 229-2336
Haru Sushi - Amsterdam Ave,"433 Amsterdam Avenue New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7841670%2C-73.977247,(212) 579-5655
Maiella - LIC,"46-10 Center Blvd. Long Island City, NY  11109",//www.google.com/maps/search/?api=1&query=40.7448040%2C-73.95789,(718) 606-1770
Churrascaria Plataforma Brazilian Steakhouse,"316 West 49th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7618550%2C-73.987024,(212) 245-0505
Bobby Van's Grill - 50th Street,"135 West 50th Street New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7600000%2C-73.982,(212) 957-5050
MIFUNE New York,":​ 245 E, 44th Street New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7516370%2C-73.97176,(212) 986-2800
Brasserie Cognac East,,,
Il Cantinori,"32 East 10th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7330000%2C-73.994,(212) 673-6044
Benjamin Steakhouse Prime,"23 E 40th St. New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7514370%2C-73.979977,(212) 338-0818
Lincoln Square Steak,"208 West 70th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7772340%2C-73.983146,(212) 875-8600
Naples 45,,,
Ammos Estiatorio,"52 Vanderbilt Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7542670%2C-73.977181,(212) 922-9999
Trattoria Zero Otto Nove,"15 West 21st Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7408570%2C-73.991622,(212) 242-0899
Ortzi by Jose Garces,"120 W 41st St New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7544110%2C-73.985758,(212) 730-8900
Obica Mozzarella Bar  Pizza e Cucina,"928 Broadway New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7400480%2C-73.989301,(212) 777-2754
Zengo - NYC,"622 Third Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7500930%2C-73.975875,(212) 808-8110
Fine & Rare,,,
Bagatelle - NY,"One Little West 12th New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7396090%2C-74.006141,(212) 488-2110
Periyali,"35 W. 20th St. New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7401000%2C-73.992,(212) 463-7890
David Burke Tavern,,,
Strip House Midtown,"15 West 44th New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7552990%2C-73.980925,(212) 336-5454
Farmer & The Fish - Gramercy,"245 Park Ave S New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7379780%2C-73.987496,(646) 998-5991
.Tarallucci e Vino Upper West Side,"475 Columbus Ave New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7842980%2C-73.973346,(212) 362-5454
Bann Restaurant,"350 West 50th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7629670%2C-73.987845,(212) 582-4446
The Flatiron Room,,,
Maloney & Porcelli,"37 E. 50th St. New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7577590%2C-73.975376,(212) 750-2233
Le Coq Rico,"30 East 20th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7385740%2C-73.988902,(212) 267-7426
Pera Mediterranean Brasserie,"303 Madison Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7525360%2C-73.979487,(212) 878-6301
Brasserie Ruhlmann,"45 Rockefeller Plaza New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7590000%2C-73.978,(212) 974-2020
Etcetera Etcetera,"352 West 44th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7591600%2C-73.990333,(212) 399-4141
Socarrat Paella Bar - Midtown East,"953 Second Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7552520%2C-73.968451,(212) 759-0101
Socarrat Paella Bar - Chelsea,"259 W 19th St. New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7427570%2C-73.999476,(212) 462-1000
Felice 64 Wine Bar,"1166 1st avenue New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7625140%2C-73.959484,(212) 593-2223
Chazz Palminteri Italian Restaurant,"30 W 46th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7564730%2C-73.98063,(212) 355-5540
Todd English at The Plaza Food Hall,,,
Rock Center Cafe,"Rockefeller Center 20. West 50th Street New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7580000%2C-73.977,(212) 332-7620
Rahi,,,
Cipriani - Dolci,"89 East 42nd Street Grand Central Terminal West Balcony New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7519560%2C-73.977232,(212) 973-0999
Perrine,"2 East 61st Street New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7651280%2C-73.972039,(212) 838-8000
Aretsky's Patroon,"160 East 46th Street New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7536220%2C-73.973695,(212) 883-7373
Neta,"61 West 8th Street New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7334310%2C-73.999077,(212) 505-2610
Café Centro,"Metlife Building 200 Park Avenue New York, NY  10166",//www.google.com/maps/search/?api=1&query=40.7538330%2C-73.975698,(212) 818-1222
The Sea Grill,"Rockefeller Center - 19 W.49th Street or via the concourse thru any Rockefeller Center entrance New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7580000%2C-73.977,(212) 332-7610
Morton's The Steakhouse - Midtown Manhattan,"551 5th Ave (entrance on 45th St.) New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7555820%2C-73.979297,(212) 972-3315
Davio's - Manhattan,,,
Hanjan,"36 West 26th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7441790%2C-73.990668,(212) 206-7226
Le Colonial NYC,"149 E. 57th St New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7610000%2C-73.969,(212) 752-0808
High Street on Hudson,"637 hudson st New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7388420%2C-74.005791,(917) 388-3944
Society Cafe,"52 W 13th Street New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7363170%2C-73.996523,(212) 300-4525
Bistro Pierre Lapin,,,
Bedford & Co.,"118 East 40th Street New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7502080%2C-73.977637,(212) 634-4040
Ted's Montana Grill - NYC,"110 West 51st Street Time Life Bldg. New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7611920%2C-73.981581,(212) 245-5220
The House in Gramercy Park,"121 East 17th St New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7361320%2C-73.987743,(212) 353-2121
Inakaya,"231 West 40th Street New York, NY  10018",//www.google.com/maps/search/?api=1&query=40.7556230%2C-73.989558,(212) 354-2195
American Cut Steakhouse Midtown,"109 East 56th St. New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7607860%2C-73.970371,(212) 388-5277
Pampano New York,"209 E. 49th St. New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7551000%2C-73.971,(212) 751-4545
Shun Lee Palace,"155 East 55th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7594570%2C-73.969509,(212) 371-8844
Feast,"102 3rd Ave. New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7325550%2C-73.98797,(212) 529-8880
Bocca,"39 East 19th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7383090%2C-73.989553,(212) 387-1200
Rossini's Restaurant,"108 East 38 Street New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7492320%2C-73.97872,(212) 683-0135
Il Mulino Prime - Gramercy,,,
Irvington,"201 Park Ave S New York, NY 10003 New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7365430%2C-73.988749,(212) 677-0425
Nick & Stef’s Steakhouse - New York,"9 Penn Plaza New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7510730%2C-73.993289,(212) 563-4444
Barbetta Restaurant,"321 West 46th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7600330%2C-73.988502,(212) 246-9171
Clement,"700 Fifth Avenue New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7618300%2C-73.975402,(212) 903-3918
Standard Grill,,,
Dos Caminos – Meatpacking,"675 Hudson Street at 14th Street New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7404350%2C-74.005212,(212) 699-2400
Docks Oyster Bar and Seafood Grill,"633 Third Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7497930%2C-73.974831,(212) 986-8080
The Cecil Steakhouse,"210 W 118th St New York, NY  10026",//www.google.com/maps/search/?api=1&query=40.8046950%2C-73.952523,(212) 866-1262
Empire Steak House- East,"151 East 50th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7561990%2C-73.971202,(212) 582-6900
Osteria 57,,,
Empire Steakhouse - 237 West 54 Street off of Broadway,"237 West 54th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7643680%2C-73.98313,(212) 586-9700
Tarallucci e Vino NoMad,"44 East 28th Street New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7435720%2C-73.984706,(212) 779-1100
Trattoria Italienne,"19 West 24th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7436870%2C-73.99224,(212) 600-5139
Suzuki,"114 W 47th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7581400%2C-73.983006,(212) 278-0010
Sofrito NYC,"679 Riverside Dr. New York, NY  10031",//www.google.com/maps/search/?api=1&query=40.8272370%2C-73.95526,(212) 754-5999
.Tarallucci e Vino Union Square,"15 East 18th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7380810%2C-73.99083,(212) 228-5400
Gaby Brasserie Française,"44 West 45th Street - Gaby Brasserie Française Gaby Brasserie Française New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7561950%2C-73.981364,(212) 782-3040
Bocca Di Bacco (Chelsea - 20th St.),"169 9th Avenue New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7445350%2C-74.002902,(212) 989-8400
Merakia,,,
Giorgio's of Gramercy,"27 East 21st Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7396800%2C-73.989201,(212) 477-0007
Delmonico's Kitchen,"207 West 36th Street New York, NY  10018",//www.google.com/maps/search/?api=1&query=40.7524190%2C-73.989978,(212) 695-5220
Bobby Van's Grill Times Square,"120 W. 45th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7570170%2C-73.983915,(212) 575-5623
Tender Restaurant,"130 W 47th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7585540%2C-73.983101,(212) 514-6000
Jue Lan Club,"49 W 20th Street New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7410250%2C-73.993575,(646) 524-7409
Altesi Ristorante,"26 E 64th Street New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7666620%2C-73.969575,(212) 759-8900
Leonelli Taberna,,,
Astor Court,"2 East 55th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7614000%2C-73.97487,(212) 339-6857
STATE Grill and Bar,"21 West 33rd Street New York, NY  10118",//www.google.com/maps/search/?api=1&query=40.7483460%2C-73.986424,(212) 216-9693
Haru Hell's Kitchen,"859 9th Ave New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7672380%2C-73.9866,(212) 301-4440
The Shakespeare,"24 E. 39th Street New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7506060%2C-73.980175,(646) 837-6779
Kingside,"124 WEST 57TH ST New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7646960%2C-73.978108,(212) 707-8000
La Fonda Del Sol,"200 Park Avenue at East 44th Street MetLife Building New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7537160%2C-73.977437,(212) 867-6767
Amma,"246 E. 51st Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7560000%2C-73.969,(212) 644-8330
